time,P,
20050101:0000,0,
20050101:0100,0,
20050101:0200,0,
20050101:0300,0,
20050101:0400,0,
20050101:0500,0,
20050101:0600,0,
20050101:0700,0,
20050101:0800,0,
20050101:0900,0,
20050101:1000,0,
20050101:1100,3.74,
20050101:1200,48.79,
20050101:1300,241.84,
20050101:1400,442.45,
20050101:1500,404.72,
20050101:1600,455.05,
20050101:1700,740.01,
20050101:1800,725.76,
20050101:1900,657.69,
20050101:2000,318.73,
20050101:2100,124.66,
20050101:2200,0,
20050101:2300,0,
20050102:0000,0,
20050102:0100,0,
20050102:0200,0,
20050102:0300,0,
20050102:0400,0,
20050102:0500,0,
20050102:0600,0,
20050102:0700,0,
20050102:0800,0,
20050102:0900,0,
20050102:1000,0,
20050102:1100,3.2,
20050102:1200,48.06,
20050102:1300,241.69,
20050102:1400,444.43,
20050102:1500,599.6,
20050102:1600,282.71,
20050102:1700,161.71,
20050102:1800,231.08,
20050102:1900,38.91,
20050102:2000,5.47,
20050102:2100,333.87,
20050102:2200,0,
20050102:2300,0,
20050103:0000,0,
20050103:0100,0,
20050103:0200,0,
20050103:0300,0,
20050103:0400,0,
20050103:0500,0,
20050103:0600,0,
20050103:0700,0,
20050103:0800,0,
20050103:0900,0,
20050103:1000,0,
20050103:1100,3.21,
20050103:1200,48.17,
20050103:1300,243.03,
20050103:1400,275.05,
20050103:1500,297.26,
20050103:1600,222.06,
20050103:1700,337.64,
20050103:1800,274.43,
20050103:1900,191.97,
20050103:2000,44.88,
20050103:2100,68.12,
20050103:2200,0,
20050103:2300,0,
20050104:0000,0,
20050104:0100,0,
20050104:0200,0,
20050104:0300,0,
20050104:0400,0,
20050104:0500,0,
20050104:0600,0,
20050104:0700,0,
20050104:0800,0,
20050104:0900,0,
20050104:1000,0,
20050104:1100,2.7,
20050104:1200,71.89,
20050104:1300,172.91,
20050104:1400,437.81,
20050104:1500,590.06,
20050104:1600,688.38,
20050104:1700,730.84,
20050104:1800,273.46,
20050104:1900,392.96,
20050104:2000,524.83,
20050104:2100,62.07,
20050104:2200,0,
20050104:2300,0,
20050105:0000,0,
20050105:0100,0,
20050105:0200,0,
20050105:0300,0,
20050105:0400,0,
20050105:0500,0,
20050105:0600,0,
20050105:0700,0,
20050105:0800,0,
20050105:0900,0,
20050105:1000,0,
20050105:1100,0.41,
20050105:1200,61.24,
20050105:1300,74.1,
20050105:1400,211.41,
20050105:1500,148.15,
20050105:1600,269.19,
20050105:1700,117.9,
20050105:1800,163.25,
20050105:1900,117.57,
20050105:2000,132.55,
20050105:2100,336.18,
